"ranking","country","regional_indicator","happiness_score","gdp","support","life_exp","freedom","generosity","corruption","year","regime_category","monarchy","democracy","presidential","colony","communist","sp_democracy","suffrage","electoral_category","sp_electoral","fair_election","alternation","region","country_or_territory","status","political_rights","civil_liberties"
11,"Israel","Middle East and North Africa",7.278,7.26786,0.87285,72,0.61695,0.41679,0.85894,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,"democratic elections",1.5,TRUE,TRUE,"Middle East","c","F",1,2
12,"Costa Rica","Latin America and Caribbean",7.226,5.65412,0.88279,70,0.94629,0.32036,0.80826,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
13,"Austria","Western Europe",7.2,7.91067,0.92498,71,0.93222,0.41574,0.66161,2015,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
14,"Mexico","Latin America and Caribbean",7.187,6.03719,0.65218,68,0.71941,0.17683,0.61385,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.5,TRUE,TRUE,"Americas","c","PF",3,3
15,"United States","North America and ANZ",7.119,8.24951,0.88938,70,0.8153,0.50391,0.7121,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
16,"Brazil","Latin America and Caribbean",6.983,5.80471,0.87922,64,0.73237,0.18312,0.68253,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
17,"Luxembourg","Western Europe",6.946,9.25162,0.86977,72,0.91952,0.35223,0.31515,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
18,"Ireland","Western Europe",6.94,7.90313,0.97664,71,0.92242,0.57673,0.47994,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
19,"Belgium","Western Europe",6.937,7.73666,0.91687,71,0.87274,0.27956,0.59161,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
20,"United Arab Emirates","Middle East and North Africa",6.901,8.44328,0.80283,68,0.95795,0.33205,0.30091,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"no elections",1.25,FALSE,FALSE,"Middle East","c","NF",6,6
21,"United Kingdom","Western Europe",6.867,7.4915,0.91674,72,0.89029,0.65226,0.41899,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
22,"Oman","Middle East and North Africa",6.853,8.04603,0.7715,66,0.94476,0.27067,0.4107,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",0,FALSE,FALSE,"Middle East","c","NF",6,5
23,"Venezuela","Latin America and Caribbean",6.81,6.1774,0.89569,65,0.64068,0.07339,0.79944,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,TRUE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",5,5
24,"Singapore","Southeast Asia",6.798,9.00287,0.72741,76,0.81005,0.39082,0.10837,2015,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,"non-democratic multi-party elections",3,FALSE,FALSE,"Asia","c","PF",4,4
25,"Panama","Latin America and Caribbean",6.786,6.29152,0.85471,68,0.80943,0.307,0.83204,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
26,"Germany","Western Europe",6.75,7.8556,0.92665,71,0.91794,0.3545,0.60423,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
27,"Chile","Latin America and Caribbean",6.67,6.54959,0.80191,70,0.65895,0.4192,0.76683,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
28,"Qatar","Middle East and North Africa",6.611,10,0.7692,68,0.9562,0.40927,0.05406,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"no elections",0.666666666666667,FALSE,FALSE,"Middle East","c","NF",6,5
29,"France","Western Europe",6.575,7.55899,0.89884,73,0.82139,0.15494,0.62592,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
30,"Argentina","Latin America and Caribbean",6.574,6.23223,0.89018,67,0.67152,0.14388,0.84629,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
31,"Czech Republic","Central and Eastern Europe",6.505,6.97451,0.86037,69,0.69228,0.13426,0.95195,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
32,"Uruguay","Latin America and Caribbean",6.485,6.28049,0.86213,68,0.90129,0.292,0.55504,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",1,1
33,"Colombia","Latin America and Caribbean",6.477,5.43424,0.88444,64,0.79832,0.2312,0.90723,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",3,4
34,"Thailand","Southeast Asia",6.455,5.71991,0.90217,65,0.83114,0.72411,0.94226,2015,"Military dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0.25,TRUE,"no elections",2,FALSE,FALSE,"Asia","c","NF",6,5
35,"Saudi Arabia","Middle East and North Africa",6.411,8.25484,0.773,65,0.46359,0.17221,0.4107,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0.1,FALSE,"no elections",1.3,FALSE,FALSE,"Middle East","c","NF",7,7
36,"Spain","Western Europe",6.329,7.277,0.93693,73,0.6861,0.22902,0.88407,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.75,TRUE,"democratic elections",2.75,TRUE,TRUE,"Europe","c","F",1,1
37,"Malta","Western Europe",6.302,7.14263,0.92854,71,0.90133,0.65024,0.75385,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",1,1
38,"Taiwan","East Asia",6.298,7.63708,0.76747,70,0.59338,0.31884,0.85271,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2,TRUE,TRUE,"Asia","c","F",1,2
39,"Kuwait","Middle East and North Africa",6.295,9.19429,0.83149,65,0.82868,0.2039,0.53599,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",1,FALSE,FALSE,"Middle East","c","PF",5,5
40,"Suriname","Latin America and Caribbean",6.269,5.88815,0.69318,61,0.89076,0.21348,0.75298,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
41,"Trinidad and Tobago","Latin America and Caribbean",6.168,7.16886,0.84404,61,0.83443,0.4001,0.97934,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,2
42,"El Salvador","Latin America and Caribbean",6.13,4.52282,0.73103,63,0.60248,0.13435,0.78663,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,3
43,"Guatemala","Latin America and Caribbean",6.123,4.41035,0.74422,62,0.86203,0.34539,0.82838,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",3,4
44,"Uzbekistan","Commonwealth of Independent States",6.003,3.74131,0.95593,60,0.9828,0.28694,0.44147,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.2,TRUE,"non-democratic multi-party elections",2.2,FALSE,FALSE,"Eurasia","c","NF",7,7
45,"Slovakia","Central and Eastern Europe",5.995,6.91492,0.90569,67,0.47409,0.21225,0.93784,2015,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
46,"Japan","East Asia",5.987,7.5173,0.89651,75,0.74081,0.13451,0.67277,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.25,TRUE,"democratic elections",1.5,TRUE,TRUE,"Asia","c","F",1,1
47,"South Korea","East Asia",5.984,7.36272,0.68301,74,0.49585,0.23316,0.85764,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.333333333333333,TRUE,"democratic elections",1.33333333333333,TRUE,TRUE,"Asia","c","F",2,2
48,"Ecuador","Latin America and Caribbean",5.975,5.1113,0.71246,67,0.72528,0.14501,0.67224,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",3,3
49,"Bahrain","Middle East and North Africa",5.96,7.83099,0.86736,66,0.67925,0.21815,0.44557,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",0,FALSE,FALSE,"Middle East","c","NF",7,6
50,"Italy","Western Europe",5.948,7.40136,0.85419,73,0.39174,0.28676,0.94744,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
51,"Bolivia","Latin America and Caribbean",5.89,4.03057,0.69775,58,0.85727,0.25803,0.84056,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",3,3
52,"Moldova","Commonwealth of Independent States",5.889,3.51674,0.72404,61,0.49002,0.26325,0.97074,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Eurasia","c","PF",3,3
53,"Paraguay","Latin America and Caribbean",5.878,4.49503,0.9305,63,0.80478,0.43021,0.85067,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",3,3
54,"Kazakhstan","Commonwealth of Independent States",5.855,6.64062,0.80045,62,0.77119,0.1486,0.84683,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.2,TRUE,"non-democratic multi-party elections",1.8,FALSE,FALSE,"Eurasia","c","NF",6,5
55,"Slovenia","Central and Eastern Europe",5.848,7.00998,0.90844,70,0.90865,0.31824,0.93139,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
56,"Lithuania","Central and Eastern Europe",5.833,6.7867,0.89675,65,0.31867,0.03318,0.98131,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.5,TRUE,"democratic elections",2.5,TRUE,TRUE,"Europe","c","F",1,1
57,"Nicaragua","Latin America and Caribbean",5.828,3.50947,0.8143,66,0.82831,0.34949,0.65,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",4,3
58,"Peru","Latin America and Caribbean",5.824,5.32525,0.69503,65,0.61959,0.18824,0.89148,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","F",2,3
59,"Belarus","Commonwealth of Independent States",5.813,6.10455,0.87923,65,0.56646,0.13879,0.65411,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,TRUE,0.8,TRUE,"non-democratic multi-party elections",2.8,FALSE,FALSE,"Eurasia","c","NF",7,6
60,"Poland","Central and Eastern Europe",5.791,6.65842,0.91246,67,0.79318,0.21057,0.92369,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.714285714285714,TRUE,"democratic elections",2.71428571428571,TRUE,TRUE,"Europe","c","F",1,1
61,"Malaysia","Southeast Asia",5.77,6.65435,0.76323,65,0.79172,0.41558,0.80974,2015,"Mixed democratic",TRUE,TRUE,FALSE,FALSE,FALSE,0.4,TRUE,"democratic elections",1.6,TRUE,TRUE,"Asia","c","PF",4,4
62,"Croatia","Central and Eastern Europe",5.759,6.40398,0.56784,67,0.38647,0.0684,0.95597,2015,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0.6,TRUE,"democratic elections",2.6,TRUE,TRUE,"Europe","c","F",1,2
64,"Russia","Commonwealth of Independent States",5.716,6.72997,0.88157,63,0.54766,0.0025,0.94555,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.6,TRUE,"non-democratic multi-party elections",2.4,FALSE,FALSE,"Eurasia","c","NF",6,6
65,"Jamaica","Latin America and Caribbean",5.709,4.79395,0.82085,64,0.75316,0.26675,0.95835,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.333333333333333,TRUE,"democratic elections",2,TRUE,TRUE,"Americas","c","F",2,3
67,"Cyprus","Western Europe",5.689,7.14692,0.63697,72,0.60729,0.38496,0.88864,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",1,1
68,"Algeria","Middle East and North Africa",5.605,5.55657,0.76857,61,0.42672,0.09828,0.68504,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.5,TRUE,"non-democratic multi-party elections",2.5,FALSE,FALSE,"Africa","c","NF",6,5
70,"Turkmenistan","Commonwealth of Independent States",5.548,5.67006,0.87481,58,0.71087,0.21333,0.44115,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",1.75,FALSE,FALSE,"Eurasia","c","NF",7,7
71,"Mauritius","Sub-Saharan Africa",5.477,5.96071,0.7026,64,0.83714,0.47425,0.86373,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,"democratic elections",2,TRUE,TRUE,"Africa","c","F",1,2
72,"Hong Kong","East Asia",5.474,8.1994,0.75464,75,0.89003,0.49602,0.32736,2015,"Special Administrative Region of China",FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",1,FALSE,FALSE,"Asia","t","PF",5,2
73,"Estonia","Central and Eastern Europe",5.429,6.81338,0.87568,67,0.67023,0.10906,0.72488,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",1,1
74,"Indonesia","Southeast Asia",5.399,4.89981,0.77525,62,0.69597,0.64752,1,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.8,TRUE,"democratic elections",2.8,TRUE,TRUE,"Asia","c","PF",2,4
75,"Vietnam","Southeast Asia",5.36,3.73967,0.65058,66,0.88758,0.21184,0.81082,2015,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,TRUE,0,TRUE,"single-party elections",1,FALSE,FALSE,"Asia","c","NF",7,5
76,"Turkey","Middle East and North Africa",5.332,6.27647,0.67487,65,0.34066,0.15396,0.71471,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0.625,TRUE,"democratic elections",2.5,TRUE,TRUE,"Europe","c","PF",3,4
77,"Kyrgyzstan","Commonwealth of Independent States",5.286,2.80569,0.82094,62,0.64918,0.37732,0.92333,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE,"democratic elections",1.5,TRUE,TRUE,"Eurasia","c","PF",5,5
78,"Nigeria","Sub-Saharan Africa",5.268,3.87095,0.64491,45,0.51265,0.34218,0.92697,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.5,TRUE,"democratic elections",2.5,TRUE,TRUE,"Africa","c","PF",4,5
79,"Bhutan","South Asia",5.253,4.55759,0.78728,59,0.79444,0.60308,0.72016,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0.5,TRUE,"democratic elections",1.5,TRUE,TRUE,"Asia","c","PF",3,4
80,"Azerbaijan","Commonwealth of Independent States",5.212,6.05702,0.66889,62,0.5529,0.098,0.70891,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.5,TRUE,"non-democratic multi-party elections",2.25,FALSE,FALSE,"Eurasia","c","NF",6,6
81,"Pakistan","South Asia",5.194,3.52236,0.29532,57,0.18069,0.42306,0.8104,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.25,TRUE,"democratic elections",1.5,TRUE,TRUE,"Asia","c","PF",4,5
82,"Montenegro","Central and Eastern Europe",5.192,5.76415,0.64581,65,0.27264,0.20279,0.74098,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.75,TRUE,"non-democratic multi-party elections",2.75,FALSE,FALSE,"Europe","c","F",3,2
83,"Jordan","Middle East and North Africa",5.192,5.33583,0.7516,64,0.60713,0.13887,0.74102,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0.2,TRUE,"non-democratic multi-party elections",1.4,FALSE,FALSE,"Middle East","c","NF",6,5
84,"China","East Asia",5.14,5.26566,0.67517,68,0.77191,0.10285,0.94961,2015,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,TRUE,0.470588235294118,TRUE,"no elections",2.29411764705882,FALSE,FALSE,"Asia","c","NF",7,6
85,"Zambia","Sub-Saharan Africa",5.129,2.78261,0.65333,50,0.72905,0.24615,0.7741,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.285714285714286,TRUE,"democratic elections",2.28571428571429,TRUE,TRUE,"Africa","c","PF",3,4
86,"Romania","Central and Eastern Europe",5.124,6.17272,0.63176,67,0.52361,0.17274,0.98825,2015,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",2,2
87,"Serbia","Central and Eastern Europe",5.123,5.44558,0.72003,66,0.30022,0.24163,0.95258,2015,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0.777777777777778,TRUE,"democratic elections",2.77777777777778,TRUE,TRUE,"Europe","c","F",2,2
88,"Portugal","Western Europe",5.102,6.86169,0.81253,70,0.7685,0.17238,0.98047,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",1,1
89,"Latvia","Central and Eastern Europe",5.098,6.58489,0.78134,65,0.44303,0.229,0.88527,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"democratic elections",2.66666666666667,TRUE,TRUE,"Europe","c","F",2,2
90,"Philippines","Southeast Asia",5.073,4.17249,0.73822,60,0.93388,0.314,0.77753,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Asia","c","PF",3,3
92,"Morocco","Middle East and North Africa",5.013,4.34681,0.45709,61,0.62251,0.09011,0.84516,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0.333333333333333,TRUE,"non-democratic multi-party elections",2.33333333333333,FALSE,FALSE,"Africa","c","PF",5,4
93,"North Macedonia","Central and Eastern Europe",5.007,5.43361,0.71481,65,0.49956,0.28093,0.90348,2015,"Mixed democratic",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","PF",4,3
94,"Mozambique","Sub-Saharan Africa",4.971,0.49149,0.73188,42,0.50821,0.2798,0.71729,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.428571428571429,TRUE,"non-democratic multi-party elections",2.42857142857143,FALSE,FALSE,"Africa","c","PF",4,3
95,"Albania","Central and Eastern Europe",4.959,5.19798,0.57361,68,0.53354,0.17933,0.88381,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.8,TRUE,"democratic elections",2.8,TRUE,TRUE,"Europe","c","PF",3,3
96,"Bosnia and Herzegovina","Central and Eastern Europe",4.949,4.92324,0.65549,67,0.13804,0.31171,0.99589,2015,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"non-democratic multi-party elections",2.66666666666667,FALSE,FALSE,"Europe","c","PF",4,3
97,"Lesotho","Sub-Saharan Africa",4.898,2.22106,0.74241,41,0.47433,0.20591,0.77345,2015,"Parliamentary democracy",TRUE,TRUE,FALSE,FALSE,FALSE,0,TRUE,"democratic elections",2,TRUE,TRUE,"Africa","c","F",2,3
98,"Dominican Republic","Latin America and Caribbean",4.885,5.29675,0.83583,63,0.86112,0.27245,0.74209,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.5,TRUE,"democratic elections",2.25,TRUE,TRUE,"Americas","c","F",2,3
99,"Laos","Southeast Asia",4.876,3.49416,0.52632,59,0.88977,0.53012,0.56063,2015,"Military dictatorship",FALSE,FALSE,TRUE,FALSE,TRUE,0,TRUE,"single-party elections",1,FALSE,FALSE,"Asia","c","NF",7,6
100,"Mongolia","East Asia",4.874,4.8993,0.92752,60,0.6514,0.41752,0.9517,2015,"Mixed democratic",FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,"democratic elections",1,TRUE,TRUE,"Asia","c","F",1,2
101,"Swaziland","Sub-Saharan Africa",4.867,4.21236,0.76509,41,0.45777,0.22942,0.94456,2015,"Royal dictatorship",TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,"non-democratic multi-party elections",2,FALSE,FALSE,"Africa","c","NF",7,5
102,"Greece","Western Europe",4.857,6.82708,0.66275,71,0.11495,0,0.97469,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Europe","c","F",2,2
103,"Lebanon","Middle East and North Africa",4.839,6.06739,0.57053,69,0.50641,0.27459,0.91698,2015,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,TRUE,"non-democratic multi-party elections",2.66666666666667,TRUE,FALSE,"Middle East","c","PF",5,4
104,"Hungary","Central and Eastern Europe",4.8,6.63118,0.85731,66,0.47948,0.16083,0.95003,2015,"Parliamentary democracy",FALSE,TRUE,FALSE,FALSE,FALSE,0.875,TRUE,"democratic elections",2.875,TRUE,TRUE,"Europe","c","F",2,2
105,"Honduras","Latin America and Caribbean",4.788,3.52173,0.67998,64,0.59947,0.28933,0.87634,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,1,TRUE,"democratic elections",3,TRUE,TRUE,"Americas","c","PF",4,4
106,"Tajikistan","Commonwealth of Independent States",4.786,2.30991,0.61019,59,0.705,0.28866,0.72691,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.25,TRUE,"non-democratic multi-party elections",1.75,FALSE,FALSE,"Eurasia","c","NF",6,6
107,"Tunisia","Middle East and North Africa",4.739,5.21253,0.43095,65,0.39222,0.08081,0.8848,2015,"Presidential democracy",FALSE,TRUE,TRUE,FALSE,FALSE,0.5,TRUE,"democratic elections",2.5,TRUE,TRUE,"Africa","c","F",1,3
109,"Bangladesh","South Asia",4.694,2.35166,0.30741,60,0.6095,0.26664,0.77226,2015,"Civilian dictatorship",FALSE,FALSE,FALSE,FALSE,FALSE,0.5,TRUE,"non-democratic multi-party elections",2.5,FALSE,FALSE,"Asia","c","PF",4,4
110,"Iran","Middle East and North Africa",4.686,5.96774,0.38829,64,0.44843,0.47853,0.89378,2015,"Civilian dictatorship",FALSE,FALSE,TRUE,FALSE,FALSE,0.375,TRUE,"single-party elections",2.125,FALSE,FALSE,"Middle East","c","NF",6,6
